       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114394          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447067        -137.30231349
    2300          53.81193894          17.16313902        -154.43944723        -137.27630821
    2400          59.52572193          18.98553111        -156.33952786        -137.35399675
    2500          58.92686580          18.79452794        -156.03041539        -137.23588745
    2600          61.65941063          19.66606403        -156.94491185        -137.27884783
    2700          58.81987817          18.76040459        -156.07031130        -137.30990671
    2800          53.15475448          16.95353222        -154.26693034        -137.31339812
    2900          54.95193287          17.52673629        -154.82877243        -137.30203614
    3000          55.99963546          17.86089755        -155.23428948        -137.37339193
    3100          56.97369920          18.17157194        -155.46229967        -137.29072772
    3200          54.82660794          17.48676432        -154.82425944        -137.33749512
    3300          58.17829058          18.55577236        -155.99088339        -137.43511103
    3400          57.28761671          18.27169489        -155.64132330        -137.36962841
    3500          55.43527705          17.68089731        -155.09613638        -137.41523906
    3600          55.08691339          17.56978788        -155.00143086        -137.43164298
    3700          56.84773679          18.13139665        -155.56340660        -137.43200995
    3800          51.62381172          16.46524312        -153.98189476        -137.51665164
    3900          52.18973697          16.64574309        -154.10779817        -137.46205508
    4000          52.04636925          16.60001644        -153.99304357        -137.39302713
    4100          56.74191434          18.09764493        -155.56858001        -137.47093508
    4200          51.99685256          16.58422325        -154.04242998        -137.45820673
    4300          51.52545993          16.43387414        -153.89642722        -137.46255308
    4400          53.09080955          16.93313720        -154.37663512        -137.44349792
    4500          55.28675475          17.63352662        -154.99870001        -137.36517339
    4600          50.52583624          16.11504749        -153.47955691        -137.36450942
    4700          54.84774527          17.49350600        -154.83047713        -137.33697113
    4800          51.56462137          16.44636455        -153.90122539        -137.45486083
    4900          44.23772797          14.10947626        -151.46112099        -137.35164473
    5000          51.57342785          16.44917335        -153.88112917        -137.43195582
    5100          52.23630468          16.66059571        -154.09990918        -137.43931347
    5200          52.03895255          16.59765090        -153.92694760        -137.32929669
    5300          55.25665090          17.62392510        -155.00825848        -137.38433339
    5400          50.72651163          16.17905224        -153.61756084        -137.43850860
    5500          48.05305609          15.32636248        -152.67210791        -137.34574543
    5600          52.53392104          16.75551946        -154.18256272        -137.42704327
    5700          50.51708463          16.11225619        -153.53085158        -137.41859539
    5800          52.52724190          16.75338917        -154.09950646        -137.34611729
    5900          50.59325586          16.13655075        -153.50910752        -137.37255677
    6000          51.48440106          16.42077855        -153.91829360        -137.49751505
    6100          53.99067917          17.22014762        -154.63210282        -137.41195519
    6200          56.22663329          17.93329775        -155.35692158        -137.42362383
    6300          58.91346038          18.79025232        -156.21853013        -137.42827781
    6400          46.58764737          14.85897524        -152.25467907        -137.39570383
    6500          55.59158243          17.73075039        -155.19313911        -137.46238871
    6600          55.07672816          17.56653934        -155.00172965        -137.43519031
    6700          52.01265436          16.58926319        -154.09485731        -137.50559413
    6800          56.91477790          18.15277919        -155.54540315        -137.39262396
    6900          52.32754450          16.68969635        -154.20307109        -137.51337474
    7000          53.69072108          17.12447698        -154.55176959        -137.42729261
    7100          50.51381675          16.11121391        -153.52675912        -137.41554521
    7200          54.21333746          17.29116374        -154.67579369        -137.38462995
    7300          53.70519401          17.12909308        -154.58051474        -137.45142166
    7400          49.69241690          15.84923116        -153.25783023        -137.40859907
    7500          53.49186022          17.06105097        -154.42260721        -137.36155624
    7600          52.33028746          16.69057121        -154.14173386        -137.45116265
    7700          53.11930729          16.94222646        -154.36264771        -137.42042125
    7800          52.77527252          16.83249771        -154.22547913        -137.39298142
    7900          53.44982251          17.04764319        -154.40914100        -137.36149781
    8000          55.13607310          17.58546721        -154.98225062        -137.39678341
    8100          52.10292716          16.61805539        -153.95557745        -137.33752206
    8200          51.80822109          16.52405987        -153.84250471        -137.31844484
    8300          52.71075858          16.81192120        -154.20079310        -137.38887189
    8400          55.30030896          17.63784969        -155.02718255        -137.38933286
    8500          52.92918583          16.88158785        -154.13749742        -137.25590957
    8600          53.26720251          16.98939715        -154.33886022        -137.34946307
    8700          51.02813361          16.27525356        -153.66321479        -137.38796122
    8800          53.86062626          17.17866768        -154.63340815        -137.45474048
    8900          51.68392319          16.48441547        -153.88825094        -137.40383547
    9000          57.58444865          18.36636845        -155.79773505        -137.43136660
    9100          47.83002813          15.25522845        -152.66207009        -137.40684164
    9200          51.96869795          16.57524343        -153.92822373        -137.35298029
