../ljmd-serial.x < argon_108.inp
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447067        -137.30231349
    2300          53.81193895          17.16313902        -154.43944723        -137.27630821
    2400          59.52572194          18.98553111        -156.33952786        -137.35399675
    2500          58.92686581          18.79452794        -156.03041539        -137.23588745
    2600          61.65941059          19.66606401        -156.94491184        -137.27884783
    2700          58.81987816          18.76040458        -156.07031129        -137.30990671
    2800          53.15475440          16.95353220        -154.26693031        -137.31339812
    2900          54.95193290          17.52673630        -154.82877244        -137.30203614
    3000          55.99963533          17.86089751        -155.23428943        -137.37339192
    3100          56.97369983          18.17157214        -155.46229987        -137.29072772
    3200          54.82660932          17.48676476        -154.82425987        -137.33749511
    3300          58.17829009          18.55577220        -155.99088322        -137.43511102
    3400          57.28761218          18.27169344        -155.64132184        -137.36962839
    3500          55.43526776          17.68089435        -155.09613334        -137.41523899
    3600          55.08691028          17.56978689        -155.00142967        -137.43164278
    3700          56.84773021          18.13139455        -155.56340428        -137.43200973
    3800          51.62385020          16.46525539        -153.98189404        -137.51663865
    3900          52.18962945          16.64570880        -154.10775078        -137.46204198
    4000          52.04657591          16.60008235        -153.99309362        -137.39301127
    4100          56.74248908          18.09782824        -155.56874361        -137.47091536
    4200          51.99499337          16.58363027        -154.04182031        -137.45819004
    4300          51.52589327          16.43401235        -153.89650557        -137.46249322
    4400          53.09440768          16.93428481        -154.37770151        -137.44341670
    4500          55.28805186          17.63394033        -154.99518949        -137.36124916
    4600          50.52624934          16.11517924        -153.47969558        -137.36451633
    4700          54.82945269          17.48767165        -154.82860614        -137.34093449
    4800          51.58841096          16.45395216        -153.90888720        -137.45493504
    4900          44.19535160          14.09596046        -151.44774848        -137.35178802
    5000          51.69070545          16.48657865        -153.92268791        -137.43610926
    5100          52.05443737          16.60258974        -154.02253039        -137.41994065
    5200          52.08415225          16.61206720        -153.94162332        -137.32955612
    5300          55.11017116          17.57720587        -154.97737320        -137.40016733
    5400          51.18728877          16.32601557        -153.70646038        -137.38044480
    5500          50.04343242          15.96118639        -153.25944937        -137.29826297
    5600          49.61625122          15.82493837        -153.15852926        -137.33359089
    5700          53.11582453          16.94111564        -154.36846000        -137.42734436
    5800          48.26588968          15.39424505        -152.73936431        -137.34511926
    5900          52.90937495          16.87526923        -154.26747943        -137.39221020
    6000          53.09873676          16.93566556        -154.30423400        -137.36856845
    6100          48.55341724          15.48595101        -152.85045410        -137.36450310
    6200          54.09048482          17.25198030        -154.69536448        -137.44338418
    6300          52.24426626          16.66313503        -154.10330947        -137.44017444
    6400          57.82512565          18.44313158        -155.94249703        -137.49936545
    6500          55.91063748          17.83251194        -155.30427708        -137.47176513
    6600          51.96851152          16.57518397        -153.96821422        -137.39303025
    6700          51.69281247          16.48725068        -153.79706341        -137.30981273
    6800          57.13023761          18.22149935        -155.55168992        -137.33019057
    6900          48.97808186          15.62139637        -153.05280461        -137.43140824
    7000          56.30715801          17.95898085        -155.32764144        -137.36866059
    7100          50.78643117          16.19816337        -153.64551636        -137.44735299
    7200          51.54010658          16.43854564        -153.76804630        -137.32950065
    7300          52.23926169          16.66153884        -153.99072387        -137.32918503
    7400          50.60215488          16.13938907        -153.50737883        -137.36798977
    7500          52.66993194          16.79889968        -154.13955106        -137.34065138
    7600          50.59403394          16.13679892        -153.50510951        -137.36831060
    7700          57.70889326          18.40605964        -155.73242928        -137.32636964
    7800          54.14309639          17.26876059        -154.56729515        -137.29853457
    7900          52.94237303          16.88579386        -154.21267560        -137.32688173
    8000          50.23325991          16.02173124        -153.41832821        -137.39659697
    8100          52.01485493          16.58996505        -153.98196476        -137.39199971
    8200          55.79467453          17.79552594        -155.10989842        -137.31437247
    8300          50.93871742          16.24673457        -153.63486999        -137.38813542
    8400          53.95890612          17.21001371        -154.64556169        -137.43554797
    8500          58.87796626          18.77893159        -156.16002695        -137.38109536
    8600          51.88734722          16.54929689        -153.92224877        -137.37295188
    8700          53.81925323          17.16547189        -154.64005568        -137.47458379
    8800          51.77088258          16.51215088        -153.88902381        -137.37687293
    8900          47.85792506          15.26412609        -152.63197388        -137.36784779
    9000          52.34011225          16.69370479        -154.04742232        -137.35371753
