NTh time
1 43.774600
2 27.451324
3 19.792955
4 16.613050
5 14.287903
6 13.008582
7 11.928577
8 11.169931
9 10.516778
10 10.111826
11 9.587898
12 9.476447
13 9.102746
14 8.824929
15 8.602487
16 8.380766
17 8.279851
18 8.176139
19 8.060193
20 7.737020
