NTh time
1 1.583194
2 4.992544
3 4.025926
4 3.984926
5 3.684528
6 3.552090
7 3.182812
8 3.089830
9 2.883190
10 2.912654
11 2.826163
12 2.749728
13 2.983835
14 2.672131
15 2.905038
16 2.876796
17 2.890856
18 2.871662
19 2.614839
20 2.873676
