NTh time
1 43.781318
2 27.325612
3 19.760866
4 16.365139
5 14.081354
6 12.725452
7 11.632303
8 10.977020
9 10.440993
10 9.854338
11 9.735757
12 9.277643
13 8.961468
14 8.856363
15 8.585562
16 8.112208
17 8.075396
18 8.207666
19 7.615354
20 7.500680
